tid,did,name,Comments,Year,License,Potential issue,Domain,Required split,Relevant task,Reference,Original Source ,"Include 
(Andrej)",Explanation (Andrej),"Include 
(Lennart)",Explanation (Lennart),Final Decision ,Benchmark,task_type,status,estimation_procedure,evaluation_measures,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
43,44,spambase,"Text formated as table, outdated task / solution, not meta-features but text-features, clear indicators of non-spam due to dataset collection method",1998,,Text domain,Text,-,No,https://archive.ics.uci.edu/dataset/94/spambase,https://archive.ics.uci.edu/dataset/94/spambase and 10.24432/C53G6X,No,Text,No,Text,No,Text,Supervised Classification,active,10-fold Crossvalidation,,class,2788.0,2.0,1813.0,2.0,58.0,4601.0,0.0,0.0,57.0,1.0,,,,,,,,
45,46,splice,Domain specific methods might exist; preprocssed DNA data,1991,,-,Special tabular domain,random,Maybe,? https://www.sciencedirect.com/science/article/abs/pii/0004370294901058,https://archive.ics.uci.edu/dataset/69/molecular+biology+splice+junction+gene+sequences,Yes,"Special domain and quite old, but no particular reason to exclude. ",Yes,No objection,Yes,Tabular,Supervised Classification,active,10-fold Crossvalidation,,Class,1655.0,6.0,767.0,3.0,61.0,3190.0,0.0,0.0,0.0,61.0,,,,,,,,
49,50,tic-tac-toe,GBDTs & NNs perform perfectly,1991,,"trivial, artificial, determinisitc",Artificial,random,No,?,https://doi.org/10.24432/C5688J,No,Artificial,No,Deterministic,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,Class,626.0,3.0,332.0,2.0,10.0,958.0,0.0,0.0,0.0,10.0,,,,,,,,
58,60,waveform-5000,"19/40 features are pure noise, data describes waves and was simulated; data from a book",1984,,"Artificial, Deterministic with noise",Artificial,random,No,"Breiman,L., Friedman,J.H., Olshen,R.A., and Stone,C.J. (1984). Classification and Regression Trees. Wadsworth International, pp 49-55, 169.",https://doi.org/10.24432/C56014,No,Artificial,No,Deterministic,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,class,1692.0,3.0,1653.0,3.0,41.0,5000.0,0.0,0.0,40.0,1.0,,,,,,,,
219,151,electricity,leak if not temporal split; manually normalized but unclear how; day-wise and week-wise temporal connections,1996-1998,,temporal split,tabular,temporal,Maybe,"M. Harries. Splice-2 comparative evaluation: Electricity pricing. Technical report, The University of South Wales, 1999. and J. Gama, P. Medas, G. Castillo, and P. Rodrigues. Learning with drift detection. In SBIA Brazilian Symposium on Artificial Intelligence, pages 286–295, 2004.


",?,No,Temporal split,No,Temporal split,No,Temporal Tabular,Supervised Classification,active,10-fold Crossvalidation,,class,26075.0,7.0,19237.0,2.0,9.0,45312.0,0.0,0.0,7.0,2.0,,,,,,,,
223,155,pokerhand,"game data, normalized version, solvable by a look-up table or deterministic algorithm",2002,,"artificial, deterministic",Artificial,random,No,https://archive.ics.uci.edu/dataset/158/poker+hand,https://archive.ics.uci.edu/dataset/158/poker+hand,No,Artificial,No,Deterministic,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,415526.0,10.0,2.0,10.0,11.0,829201.0,0.0,0.0,5.0,6.0,,,,,,,,
2073,181,yeast,Data already preprocessed (discriminant analysis). This likely introduced data leaks,1992,,-,Special tabular domain,,Maybe,"Reference: ""Expert Sytem for Predicting Protein Localization Sites in Gram-Negative Bacteria"", Kenta Nakai & Minoru Kanehisa, PROTEINS: Structure, Function, and Genetics 11:95-110, 1991. and Reference: ""A Knowledge Base for Predicting Protein Localization Sites in Eukaryotic Cells"", Kenta Nakai & Minoru Kanehisa, Genomics 14:897-911, 1992.

",https://archive.ics.uci.edu/dataset/110/yeast,No,Not in TabRepo. I would assume the task was trivial due to leaks,No,Likely too heavily preprocssded see features on uci,No,None-dataquality,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class_protein_localization,463.0,10.0,5.0,10.0,9.0,1484.0,0.0,0.0,8.0,1.0,,,,,,,,
2074,182,satimage,Features extracted from images,1993,,Image domain,Image,Weirdly Grouped,No,https://archive.ics.uci.edu/dataset/146/statlog+landsat+satellite,https://doi.org/10.24432/C55887,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,1531.0,6.0,625.0,6.0,37.0,6430.0,0.0,0.0,36.0,1.0,,,,,,,,
2076,184,kropt,"Chess: Classify a chess game based on the position of the white king, the white rook and the black king",?,,Artificial,Artificial,random,No,?,?,No,Artificial,No,Deterministic ,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,game,4553.0,18.0,27.0,18.0,7.0,28056.0,0.0,0.0,0.0,7.0,,,,,,,,
2077,185,baseball,"Baseball player statistics with hall of fame as nominal target, very imbalanced! Also potential omitted variable bias as date information could also be relevant, also task might be trivial or better modeled by deterministic rules; unclear source data",?,,"not a predictive task, missing source information",Tabular,random (but could also be temporal),Maybe,?,?,No,"Not in TabRepo, so likely trivial",No,Missing source information,No,None-Source,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Hall_of_Fame,1215.0,7.0,57.0,3.0,17.0,1340.0,20.0,20.0,15.0,2.0,,,,,,,,
2276,279,meta_stream_intervals.arff,Some kind of openML meta task; unclear source datae and information; some kind of algorithm selection task; time/interval featuires?,2014,,?,(Meta-data) Tabular,random / unclear,No,?,?,No,"Not in TabRepo, so likely trivial",No,"Missing source information, questionable relevance of tabular task",No,None-Source,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,23021.0,11.0,73.0,11.0,75.0,45164.0,0.0,0.0,74.0,1.0,,,,,,,,
3011,57,hypothyroid,"sourced from multiple databases, potential clustered data issues, most likely rather an interpretability task than predictive; also very different from the source data on UCI; ",1986,,"Outdated, trivial, questionable data curation ",Tabular,custom/grouped,Maybe,"Thyroid disease records supplied by the Garavan Institute and J. Ross ; Quinlan, New South Wales Institute, Syndney, Australia. ; 1987. ",https://archive.ics.uci.edu/dataset/102/thyroid+disease and 10.24432/C5D010,No,"Not in TabRepo, so likely trivial",No,Dataset too preprocssed; trivial ,No,Scientific Discovery,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,3481.0,5.0,2.0,4.0,30.0,3772.0,3772.0,6064.0,7.0,23.0,,,,,,,,
3022,307,vowel,Features extracted from speech data; strange data source and preprocessing,1988,,Audio domain,Audio,grouped,No,https://archive.ics.uci.edu/dataset/152/connectionist+bench+vowel+recognition+deterding+data,https://archive.ics.uci.edu/dataset/152/connectionist+bench+vowel+recognition+deterding+data,No,Audio,No,Audio,No,Audio,Supervised Classification,active,10-fold Crossvalidation,,Class,90.0,15.0,90.0,11.0,13.0,990.0,0.0,0.0,10.0,3.0,,,,,,,,
3481,300,isolet,Features extracted from speech data,1991,,Audio domain,Audio,grouped,No,"Spoken letter recognition
By Fanty, M., Cole, R.. 1991

Published in Advances in Neural Information Processing Systems 3",https://doi.org/10.24432/C51G69,No,Audio,No,Audio,No,Audio,Supervised Classification,active,10-fold Crossvalidation,,class,300.0,26.0,298.0,26.0,618.0,7797.0,0.0,0.0,617.0,1.0,,,,,,,,
3483,310,mammography,From https://ui.adsabs.harvard.edu/abs/1993SPIE.1905..841W/abstract; unclear feature names and missing meta-information,1993,,Image domain,Image,,No,https://ui.adsabs.harvard.edu/link_gateway/1993SPIE.1905..841W/doi:10.1117/12.148696,https://ui.adsabs.harvard.edu/link_gateway/1993SPIE.1905..841W/doi:10.1117/12.148696,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,10923.0,2.0,260.0,2.0,7.0,11183.0,0.0,0.0,6.0,1.0,,,,,,,,
3484,311,oil_spill,Data extracted from satellite images,1998,,Image domain,Image,,No,"Miroslav Kubat, et al","Miroslav Kubat, et al",No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,896.0,2.0,41.0,2.0,50.0,937.0,0.0,0.0,49.0,1.0,,,,,,,,
3492,333,monks-problems-1,(a1 == a2) or (a5 == 1),1992,,"trivial, artificial",Artificial,random,No,https://doi.org/10.24432/C5R30R,https://doi.org/10.24432/C5R30R,No,Artificial,No,Artificial,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,class,278.0,4.0,278.0,2.0,7.0,556.0,0.0,0.0,0.0,7.0,,,,,,,,
3493,334,monks-problems-2,"EXACTLY TWO of {a1 = 1, a2 = 1, a3 = 1, a4 = 1, a5 = 1, a6 = 1}",1992,,"trivial, artificial",Artificial,random,No,https://doi.org/10.24432/C5R30R,https://doi.org/10.24432/C5R30R,No,Artificial,No,Artificial,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,class,395.0,4.0,206.0,2.0,7.0,601.0,0.0,0.0,0.0,7.0,,,,,,,,
3494,335,monks-problems-3,(a5 = 3 and a4 = 1) or (a5 /= 4 and a2 /= 3),1992,,"trivial, artificial",Artificial,random,No,https://doi.org/10.24432/C5R30R,https://doi.org/10.24432/C5R30R,No,Artificial,No,Artificial,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,class,288.0,4.0,266.0,2.0,7.0,554.0,0.0,0.0,0.0,7.0,,,,,,,,
3510,375,JapaneseVowels,640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.,1999,,Audio domain,Audio,grouped,No,"M. Kudo, J. Toyama and M. Shimbo. (1999). ""Multidimensional Curve Classification Using Passing-Through Regions"". Pattern Recognition Letters, Vol. 20, No. 11--13, pages 1103--1111.",https://doi.org/10.24432/C5NS47,No,Audio,No ,Audio,No,Audio,Supervised Classification,active,10-fold Crossvalidation,,speaker,1614.0,9.0,782.0,9.0,15.0,9961.0,0.0,0.0,14.0,1.0,,,,,,,,
3512,377,synthetic_control,data consists of synthetically generated control charts,1998,,Artificial,"artificial, time-series",temporal,No,"Alcock R.J. and Manolopoulos Y. Time-Series Similarity Queries Employing a Feature-Based Approach. 7th Hellenic Conference on Informatics. August 27-29. Ioannina,Greece 1999.

D.T. Pham and A.B. Chan ""Control Chart Pattern Recognition using a New Type of Self Organizing Neural Network"" Proc. Instn, Mech, Engrs. Vol 212, No 1, pp 115-127 1998.",https://archive.ics.uci.edu/dataset/139/synthetic+control+chart+time+series,No,Artificial,No,Artificial,No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,,class,100.0,6.0,100.0,6.0,61.0,600.0,0.0,0.0,60.0,1.0,,,,,,,,
3543,451,irish,"educational transitions for a sample of 500 Irish schoolchildren in 1967, nowadays better predicive features would be available, task might be trivial, but might also be rather an interpretability than a predictive task",1967,,"Outdated, maybe ethical issues",Tabular,random,No,https://lib.stat.cmu.edu/datasets/irish.ed,https://lib.stat.cmu.edu/datasets/irish.ed,No,"Not in TabRepo, so likely trivial",No ,Outdated,No,Tiny data,Supervised Classification,active,10-fold Crossvalidation,,Leaving_Certificate,278.0,10.0,222.0,2.0,6.0,500.0,32.0,32.0,2.0,4.0,,,,,,,,
3549,458,analcatdata_authorship,"Not much information, but clearly data represents text; looks like TF-IDF preprocesisng; data from several books (groups) of several authors (target)",2003,,Text domain,Text,Grouped,No,"""Analyzing Categorical Data,"" by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. and Roger Peng",https://pages.stern.nyu.edu/~jsimonof/AnalCatData/Data/Excel/ and Roger Peng,No,Text,No,Text,No,Text,Supervised Classification,active,10-fold Crossvalidation,,Author,317.0,4.0,55.0,4.0,71.0,841.0,0.0,0.0,70.0,1.0,,,,,,,,
3560,469,analcatdata_dmft,"Very few simple features available, unlikely that this is a meaningful predictive task. If it would be, many other features should likely be used and ethicity (deifned as Black, White, Dark) might not be used; original goal was also more interpretabiltily (having a certain mean); prevention (the default target) is also wrong, the goal is regression to predict DMFT at the end; this may be even leaking!

",2003,,"Trivial, Original Regression Task treated as classification",Tabular,random,No,https://doi.org/10.1111/1467-985X.00130,https://doi.org/10.1111/1467-985X.00130 and https://pages.stern.nyu.edu/~jsimonof/AnalCatData/Data/Excel/ ,No,"Trivial: Only 4 simple features including ethnicity and gender, target likely should be defined differently,  most models perform similarly in TabRepo. BUT: We need to define a more objective criterion for tasks where the task is not perfectly solvable, but still trivial as all models perform same.",No,"Trivial, Unethical, likely wrong default target",No,None,Supervised Classification,active,10-fold Crossvalidation,,Prevention,155.0,9.0,123.0,6.0,5.0,797.0,0.0,0.0,0.0,5.0,,,,,,,,
3561,470,profb,"scores for all National Football League games from the 1989, 1990, and 1991 seasons, wrong target used on OpenML, need more thought on what the actual target could be. In general, the task was rather presented as an interpretability task",1992,,"Unclear target, not a predictive task",Tabular,temporal,Maybe,https://lib.stat.cmu.edu/datasets/,https://lib.stat.cmu.edu/datasets/,No,"Not in TabRepo, so likely trivial",No,"Temporal, Not a predictive task",No,Scientific Discovery,Supervised Classification,active,10-fold Crossvalidation,,Home/Away,448.0,28.0,224.0,2.0,10.0,672.0,666.0,1200.0,5.0,5.0,,,,,,,,
3573,554,mnist_784,(Goold) old mnist,1988,,Image domain,Image domain,random,No,http://yann.lecun.com/exdb/mnist/,http://yann.lecun.com/exdb/mnist/,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,7877.0,10.0,6313.0,10.0,785.0,70000.0,0.0,0.0,784.0,1.0,,,,,,,,
3581,715,fri_c3_1000_25,Friedman function for data generation: 10sin(pix1x2)+20(x3-0.5)^2=10X4+5X5+e,1999,,Artificial,Artificial,random,No,J.H. Friedman (1999). Stochastic Gradient Boosting,J.H. Friedman (1999). Stochastic Gradient Boosting,No,Artificial,No ,Deterministic,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,557.0,2.0,443.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0,,,,,,,,
3583,717,rmftsa_ladata,"Actual task is regression, data apparently was collected between 1970-79. As the data is 6-day spacing, temporal correlations might be not too strong. To be sure, we would need to verify experimentally that results with temporal split are not too different from random split. However as all models have a very low error, temporal data leakage seems likely",2002,,time series data,time-series,temporal,Maybe,"Data Sets for 'Regression Models for Time Series Analysis' by B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)", http://lib.stat.cmu.edu/datasets/,Unclear,Temporal split. BUT: See comment,No,"Temporal, Not an original tabular task",No,Temporal Tabular,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,286.0,2.0,222.0,2.0,11.0,508.0,0.0,0.0,10.0,1.0,,,,,,,,
3591,725,bank8FM,"Other variant: bank32h. Very low TabRepo test errors, All NNs beat trees, and the data is simulated - It is likely that there is some kind of leak. Also a custom split was given, maybe that would have prevented a leakage?; has customers and banks multiple times, maybe requires group-based splits",?,,Simulated (but might be alright); Sounds deterministic from the description,Simulated,Random,Yes,https://www.cs.toronto.edu/~delve/index.html,Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html Orginal source: DELVE repository of data,No,Simulated,No,Simulated/Likely deterministic funciton,No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,4885.0,2.0,3307.0,2.0,9.0,8192.0,0.0,0.0,8.0,1.0,,,,,,,,
3593,727,2dplanes,"Actual task is regression. Rule: if X_1 = 1 set Y = 3 + 3X_2 + 2X_3 + X_4 + sigma(0,1) if X_1 = -1 set Y = -3 + 3X_5 + 2X_6 + X_7 + sigma(0,1)",1984,,Artificial,Artificial,Random,No,"Breiman et al. (1984,p.238)","http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html / Breiman et al. (1984,p.238)",No,Artificial,No,Deterministic,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,20420.0,2.0,20348.0,2.0,11.0,40768.0,0.0,0.0,10.0,1.0,,,,,,,,
3594,728,analcatdata_supreme,"Actual task is regression; ""1[data from] between 1953 and 1988 that fell under Judiciary Committee jurisdiction during the 96th through 101st
Congress, 1979-1988""",2003,,Temporal realtionship as underyling function changed over time,Tabular,Temporal,Maybe,"Zorn, 1998","Zorn, 1998 and ""Analyzing Categorical Data,"" by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. and Roger Peng",No,"Not in TabRepo, so likely trivial",No,Likely temporal impact,No,Temporal Tabular,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,3081.0,2.0,971.0,2.0,8.0,4052.0,0.0,0.0,7.0,1.0,,,,,,,,
3600,734,ailerons,"Actual task is regression. Control tasks nowadays solved differently; RL problem, see TabReD",? (2014),,"Special domain, not a predictive task",Control,temporal,No,Luis Torgo and Rui Camacho,ncc.up.pt/ ltorgo/Regression/DataSets.htm,No,Control task,No,No predictive task,No,Robotics,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,7922.0,2.0,5828.0,2.0,41.0,13750.0,0.0,0.0,40.0,1.0,,,,,,,,
3601,735,cpu_small,"Feature subset of cpu_act. Actually regression, Data collected on two separate occasions - likely need custom split, also everythin related to CPU performance may be outdated, depending on how old the data is",? (2002),,More comprehensive version exists,Tabular,custom,Maybe,Luis Torgo (ltorgo@ncc.up.pt) at http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html Characteristics:,Computer Activity databases / DELVE repository of data,No,Duplicate,No,"Too heavily Preprocessed, not the original state",No,Duplicate,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,5715.0,2.0,2477.0,2.0,13.0,8192.0,0.0,0.0,12.0,1.0,,,,,,,,
3606,740,fri_c3_1000_10,Friedman function for data generation: 10sin(pix1x2)+20(x3-0.5)^2=10X4+5X5+e,1999,,Artificial,Artificial,random,No,J.H. Friedman (1999). Stochastic Gradient Boosting,J.H. Friedman (1999). Stochastic Gradient Boosting,No,Artificial,No,Deterministic,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,560.0,2.0,440.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0,,,,,,,,
3608,742,fri_c4_500_100,Friedman function for data generation: 10sin(pix1x2)+20(x3-0.5)^2=10X4+5X5+e,1999,,Artificial,Artificial,random,No,J.H. Friedman (1999). Stochastic Gradient Boosting,J.H. Friedman (1999). Stochastic Gradient Boosting,No,Artificial,No,Deterministic,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,283.0,2.0,217.0,2.0,101.0,500.0,0.0,0.0,100.0,1.0,,,,,,,,
3616,750,pm10,Actually regression. Was downsampled to 500 samples. Might be betetr to find the original dataset. Also the data is time-series. ,2004,,"temporal, preprocssed",time-series,temporal,Yes,Norwegian Public Roads Administration,http://lib.stat.cmu.edu/datasets/,No,time-series,No,Temporal,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,254.0,2.0,246.0,2.0,8.0,500.0,0.0,0.0,7.0,1.0,,,,,,,,
3618,752,puma32H,"Regression. Simulation of robot arm control. Not a tabular data task; maybe a deterministic formula exists to compute the accelaration -> ""Number of inputs 32 degree of non-linearity (fairly linear or non-linear) amount of noise in the output (moderate or high).""",?,,"Simulated (but might be alright), control task",Simulated,random,Maybe, Luis Torgo,DELVE repository of data,No,Simulated,Unclear,"Simulated, but likely a real random variable. If deterministic, no. ",No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,binaryClass,4128.0,2.0,4064.0,2.0,33.0,8192.0,0.0,0.0,32.0,1.0,,,,,,,,
